Sl. No,Project Name,Agency,Project Code,State,Approval Date,Start Date,Target DoC,Revised DoC,Original Cost,Revised Cost,Cumulative Expenditure,Physical Progress
234,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part D [Neemrana Bareilly Transmission Ltd],Power Grid Corporation of India Limited [POWERGRID],612133,"Multi-States (Rajasthan, Uttar Pradesh)",12/2023,12/2023,12/2025,04/2027,3271,3271,2731.29,73.45
235,Transmission System for evacuation of Power from Rajasthan REZ Ph-IV [Part-4 3.5 GW] Part A [SPV name POWERGRID Ghiror Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616670,"Multi-States (Rajasthan, Uttar Pradesh)",12/2024,12/2024,12/2026,06/2027,5846,5846,1953.73,40.71
236,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,Power Grid Corporation of India Limited [POWERGRID],611949,Rajasthan,10/2023,10/2023,04/2025,08/2026,1160,1160,1148.4,99.87
237,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana Transmission Ltd],Power Grid Corporation of India Limited [POWERGRID],612134,Rajasthan,12/2023,12/2023,12/2025,04/2027,4741,4741,3887.62,79.39
238,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW][Jaisalmer/Barmer Complex] Part B [SPV Name POWERGRID Sirohi Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615332,Rajasthan,08/2024,08/2024,08/2026,03/2027,3279,3279,1901.82,56.15
239,Transmission System Strengthening for Interconnections of Bhadla-III & Bikaner III Complex [SPV Name POWERGRID BHADLA BIKANER TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],615335,Rajasthan,08/2024,08/2024,08/2026,03/2027,1382,1382,628.81,57.31
240,Additional Transmission System for evacuation of Power from Bhadla-III PS as part of Rajasthan REZ Phase III Scheme [20 GW] [SPV Name POWERGRID Bhadla-III Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615337,Rajasthan,08/2024,08/2024,02/2026,09/2026,369,369,258.3,87.1
241,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH -IV [PART-2 5.5 GW] [JAISALMER/BARMER COMPLEX] PART F [SPV Name POWERGRID BARMER I TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],615338,Rajasthan,11/2024,11/2024,11/2026,06/2027,2735,2735,1121.35,47.28
242,"Augmentation at Fatehgarh-II PS, Fatehgarh-IV PS [Section-II] and Barmer-I PS [POWERGRID Fatehgarh Barmer Augmentation Transmission Limited]",Power Grid Corporation of India Limited [POWERGRID],617181,Rajasthan,03/2025,03/2025,12/2026,06/2027,404,404,32.32,17.2
243,Transmission System under ISTS for evacuation of Power from Kudankulam Unit-3&4 [2x1000 MW] [SPV Name POWERGRID Kudankulam Tarnsmission Limited],Power Grid Corporation of India Limited [POWERGRID],616671,Tamil Nadu,01/2025,01/2025,12/2026,03/2027,548,548,208.24,23.78
244,Transmission System for Strengthening to facilitate evacuation of power from Bhadla/Bikaner Complex,Power Grid Corporation of India Limited [POWERGRID],617269,Uttar Pradesh,12/2024,12/2024,06/2026,12/2026,212.81,212.81,12.76,12.07
